finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
 all table y/class seat found crack,"['remove table y/class seat', 'repair & repaint table y/class seat', 'install table y/class seat']","[25.0, 100.0, 25.0]","['gah310c1', 'w101', 'gah310c1']",0
 cnf1b:qb03 pk-gpt carpet broken aisle r,[' cnf1b:qb03 pk-gpt carpet broken aisle r'],[1.0],['cgk3t3zz'],nan
 cradle seat 10a found blank,"['obey all of the warnings, cautions, and', 'do troubleshoot', 'reinstall the connector of passenger con', 'do operational test of the in flight ent']","[0.1, 1.0, 0.5, 0.5]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",nan
 sealant on fuel stby pump cover on lo,[' sealant on fuel stby pump cover on lo'],[0.0],['gah210a1'],pr1828b1-2:0zx56 (sealant (ct 3h))
(umr) pk-gha pse request part: lap belt assy - inflator lh,['(umr) pk-gha pse request part: lap belt'],[0.0],['gah260zz'],7266-1-10115v81-exp:83945 (lap belt assy - inflator lh)
"(umr) pk-gpt request part: maker, espresso","['(umr) pk-gpt request part: maker, espres', '(umr) pk-gpt request part: maker, espres']","[0.0, 0.0]","['gah260c1', 'gah260c1']","hfe95-20d:aeaa2 (maker, espresso)"
"(umr) pk-gpt request part: y-belt, minipod seat (c-class seat) a330","['(umr) pk-gpt request part: y-belt, minip']",[0.0],['gah260c1'],"2059-1-046-8028:35fb9 (y-belt, minipod seat (c-class seat) a330)
806487:f1688 (seal)"
0,"['warning:', 'do remove plastic wrapping from all zone', 'ms:pk-gha hil rh nav light sys 1 inop', 'perform ut phased array lp compressor fa', 'ms:pk-gpo removed of floor bulk cargo']","[0.0, 4.0, 4.0, 1.0, 4.0]","['cgk3t3zz', 'cgk3t3zz', 'dps1t1zz', 'w808', 'gah210zz']",nan
1 ea fastener quick disconnect cover f/o efis panel not install,['install fastener quick disconnect at f/o'],[1.0],['gah310e1'],asna2056-01db:f5442 (stud)
1 pdu unable to rotate at aft cargo,['1 pdu unable to rotate at aft cargo'],[0.0],['gah210zz'],129100-1009:c1572 (pdu-power drive unit)
1ea pdu at fwd cargo cant operate,['pse replace power drive unit'],[1.0],['gah210a2'],0
1ea spare belt coatroom door 4lh no.10 not proper install,['reinstall properly the infant seatbelt o'],[1.0],['gah320c1'],nan
2 ea nose whell worn out,['2 ea nose whell worn out'],[0.0],['gah210zz'],0
2ea filler panel between g1f&g1a paint scratch,"['repair filler panel between g1f<(>&<)>g1', 'do paint repair on the component']","[2.0, 1.0]","['w401', 'w103']",0
2ea pdu at aft cargo cant operate,['pse replace power drive unit ref  amm 25'],[1.0],['gah210a2'],0
3 ea plate nut broken at bulk cargo floor support between fr 68 to fr 69,['replace plate nut affected.'],[4.0],['gah320s1'],0
3ea roller assy pdu broken in fwd cargo,['replace 3ea roller assy pdu'],[1.0],['gah210a2'],0
3rh damper yellow band,"['obey all of the warnings, cautions, and', 'do special precautions before work on th', 'do charging the door damper door 3rh', 'do leak test of door damper door 3rh', 'do special precautions after work on the', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 1.0, 2.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",nan
4ea roller pdu damage in aft cargo,['replace 4ea roller pdu'],[1.5],['gah210a2'],0
4ea spring tension missing (pos fwd cargo),['replace 4ea spring tension (pos. fwd car'],[1.0],['gah210a2'],0
4rh damper yellow band,"['obey all of the warnings, cautions, and', 'do special precautions before work on th', 'do charging the door damper of door 4rh', 'do leak test of door damper door 4rh', 'do special precautions after work on the', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 1.0, 2.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",nan
4th occupant seat paint was peel off,"['remove the fourth occupant seat for repa', 'repair the peel off area of 4th occupant', 'apply paint to the surface of 4th occupa', 'install the 4th occupant seat']","[1.0, 8.0, 2.0, 1.0]","['gah310c1', 'w101', 'w103', 'gah310c1']",0
6ea roller assy pdu broken in aft cargo,['replace 6ea roller assy pdu'],[2.0],['gah210a2'],0
[actual check] pk-gha ema of seat 8a,"['perform push-to-test diagnostic on ema o', 'please write down the results and feedba']","[2.3, 0.2]","['cgk3t3c1', 'cgk3t3c1']",nan
[actual check] pk-gpt cabin and lavatory loudspeaker,"['perform cids interface and power-up test', 'if the power-up test gives the fault mes', 'please write down the actual check resul', 'please print and attach the cids power-u', 'perform cids interface and power-up test', 'if the power-up test gives the fault mes', 'please write down the actual check resul', 'please print and attach the cids power-u']","[0.2, 1.0, 0.2, 0.1, 0.2, 1.0, 0.2, 0.1]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[cab] finding bod : pk-gpt inventory and define part number on hil,"['warning :', 'define part number in hil and verify the']","[0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",nan
[cab] pk-gha installation armrest qty 4 ea after repair from shop,"['warning :', 'install armrest qty 4 ea after repair fr']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
[cab] pk-gha repair leather armcap 4 ea,"['warning :', 'repair leather armcap 3 ea']","[0.0, 3.0]","['w101', 'w101']",0
[cab] pk-gpo remove tissue roll panel post lavatory l11,"['warning :', 'remove paper roll panel lavatory l11  to']","[0.0, 1.0]","['gah210zz', 'gah210zz']",0
[cab] pk-gpo robbing handset interphone cord cable,"['warning :', 'remove handset intherphone cord cable wh']","[0.0, 1.0]","['gah210zz', 'gah210zz']",0
[cab] pk-gpt dado panel installation qty 2 ea which missing,"['warning :', 'install dado panel 2 ea which removed, a']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
[cab] pk-gpt dado panel installation qty 3 ea which missing,"['warning :', 'install dado panel 3 ea which removed, a']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
"[cab] pk-gpt dado panel installation qty 4 ea post 21 ac hk, 22hk, and 28k.","['warning :', 'install dado panel 2 ea post 21 ac hk af']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
"[cab] pk-gpt inventory check pn, sn and expired date","['warning:', 'perform inventory check for part number,']","[0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",nan
