finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
(customer finding) all iat escutcheon need touch up,"['obey all of the warnings, cautions, and', 'remove all iat escutcheon economy class', 'repair all iat escutcheon economy seat', 'touchup all iat escutcheon economy seat', 'install all iat escutcheon economy class', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 3.0, 2.5, 0.1]","['gah310c1', 'gah310c1', 'w101', 'w103', 'gah330c1', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
346-57-726y-7:d2603 (alexit int paint bac 714 dark grey)
34557-0000-0:d2603 (alexit int hardener 345-57)","['gah3', 'gah3', 'wsss', 'wsss', 'gah3', 'gah3']",805460570
(customer request)laminate inside waste box all lavatory need to be attached,"['general:', 're-attach laminate inside waste box lava', 'restore area back to its serviceable con']","[0.1, 1.0, 0.0]","['w401', 'w401', 'w401']",1357-3m:70210 (solvent based contact adhesive - 3m),"['wscb', 'wscb', 'wscb']",805460279
.flexi hose corr. at bulk crg. under floor,"['read and fully understad the specified m', 'do clean-up, use non aqueous cleaner and', 'do special detailed inspection and confi', 'restore area back to its serviceable con', 'engineering note:']","[0.1, 3.0, 3.0, 1.0, 1.0]","['gah310s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805434778
0,['perform ut phased array lp compressor fa'],[1.0],['w808'],,['wsnc'],804945473
1 ea screw lg ctl lever found broken during removal,"['obey all of the warnings, cautions and n', 'install screw', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1']",ms35214-29:96906 (screw),"['gah3', 'gah3', 'gah3']",805501349
1 ea stud and washer missing at aft cargo panel 32r and 43l,"['complete screw at sidewall panel 32r at', 'complete screw at sidewall panel 43l at']","[1.0, 1.0]","['gah210a1', 'gah210a1']","abs0208-01:fape3 (washer)
abs0336-06:fape3 (stud)","['gah2', 'gah2']",804693594
1 row front monitor shroud edge area paint peel off,"['obey all of the warnings, cautions, and', 'repair front monitor shroud edge area', 'touchup front monitor shroud edge area', 'restore area back to its serviceable con']","[0.1, 8.0, 4.0, 0.1]","['w101', 'w101', 'w103', 'w103']","velcrop320:gmfdm (abrasive paper 5' grade 320)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-749a-7-142:d2603 (alexit-fst-topcoat 346-57 da 2.20 beige)","['wsss', 'wsss', 'wsss', 'wsss']",805466868
10g life jacket 10g life jacket fell from cover,['cover by mdr 805494675'],[1.0],['w101'],,['wsss'],805495751
"19e seat meal table is broken, seat is inop (secured in closed position).","['obey all of the warnings, cautions, and', 'do check actual condition of damage', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3']",805406372
1ab ctr lower shroud need proper install,"['obey all of the warnings, cautions, and', 'install propperly the ctr lower shroud o', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805291723
1de list stowage found crack,"['obey all of the warnings, cautions, and', 'repair list stowage of j/class seat pos', 'apply paint to the list stowage of j/cla', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop400:gmfdm (abrasive paper 5' grade 400)
346-57-906q-7:d2603 (alexit int paint bac 7363 white)
34557-0000-0:d2603 (alexit int hardener 345-57)","['wsss', 'wsss', 'wsss', 'wsss']",805291656
1de stowage door found peel off,"['obey all of the warnings, cautions, and', 'repair the stowage door of j/class seat', 'apply paint to the stowage door of j/cla', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop400:gmfdm (abrasive paper 5' grade 400)
346-57-906q-7:d2603 (alexit int paint bac 7363 white)
34557-0000-0:d2603 (alexit int hardener 345-57)","['wsss', 'wsss', 'wsss', 'wsss']",805291657
