finding_description,action_taken,work_centre,materials_required,man_hours
A330 9M-XXR ENG #1 PHASE ARRAY INSPECTIO,A330 9M-XXR ENG #1 PHASE ARRAY INSPECTIO,W808,,1
DURING PRELIMINARY: PANEL 454JL 1 EA SCREW AND WASHER MISSING,COMPLETE SCREW AND WASHER AT PANEL 454JL,GAH210A1,"962A0000-06:F1958 (VALVE, TRIM AIR PRESS.)",3
DURING PRELIMINARY: PANEL 454JL 1 EA SCREW AND WASHER MISSING,INSTALL SCREW AND WASHER THE PYLON-TO-WI,GAH210A1,,1
DURING PRELIMINARY: RH ENG SCAN LIGHT NOT ILL (2EA),PSE REPLACE RH ENGINE SCAN LIGHT REF AMM,GAH210E2,,0
DURING PRELIMINARY: BLEEDING CAP VALVE BRAKE #8 MISSING 2 EA,COMPLETE PLUG AT BRAKE #8 REF IPC FIG. 3,GAH210A1,,0
DADO PANEL 9K LOOSE,DADO PANEL 9K LOOSE,GAH210C1,,2
AIR EXTRACTION FILTER ALL LAV,AIR EXTRACTION FILTER ALL LAV,GAH210C1,,0
AIRCRAFT EXTERIOR CLEANING,PREPARATION,GAH210C1,,3
AIRCRAFT EXTERIOR CLEANING,PROCEDURE,GAH210C2,,0.5
AIRCRAFT EXTERIOR CLEANING,FINISHING,GAH210C2,,1
1 EA STUD AND WASHER MISSING AT AFT CARGO PANEL 32R AND 43L,COMPLETE SCREW AT SIDEWALL PANEL 32R AT,GAH210A1,"FRH010041:U9084 (ACTUATOR, TWIN (CDCCL))",4
1 EA STUD AND WASHER MISSING AT AFT CARGO PANEL 32R AND 43L,COMPLETE SCREW AT SIDEWALL PANEL 43L AT,GAH210A1,,2
LEAD BONDING ON RH MLG DOOR DAMAGE,REPLACE THE LEAD BONDING. REF IPC FIG. 3,GAH210A1,,2
2 EA SCREW AND WASHER MISSING AT PYLON ENG #1,PSE COMPLETION SCREW AND WASHER REF IPC,GAH210A1,,2
2 EA SCREW AND WASHER MISSING AT PYLON ENG #1,INSTALL SCREW AND WASHER REF AMM TASK 54,GAH210ZZ,,2
PANEL 462CL AT RH PYLON MISSING 1EA SCREW,COMPLETE SCREW AND WASHER AT PANEL 462CL,GAH210A1,,0
PANEL 462CL AT RH PYLON MISSING 1EA SCREW,TORQUE SCREW PANEL 462CL,GAH210A1,,6
FOUND SIGN OF LEAK AT IDG ENG #1,FOUND SIGN OF LEAK AT IDG ENG #1,GAH210A1,,0
FOUND SIGN OF LEAK AT IDG ENG #2,FOUND SIGN OF LEAK AT IDG ENG #2,GAH210A1,"H44539:F6137 (RING)
H44539:F6137 (RING)
H44539:F6137 (RING)
C20374000-2:F6137 (SERVO VALVE, BRAKE)
H44642:F6137 (SEAL)",8
CUSTOMER REQUEST: APU AUTO SHUTDOWN,APU AUTO SHUTDOWN WITH SHUTDOWN REPORT,GAH210A2,,2
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",W302,,0
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,DO MEASUREMENT AND MAPPING THE DAMAGED A,W302,,3
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,DO PAINT STRIPPING AT REPAIR AREA,W403,,2
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,PERFORM HFEC INSPECTION TO DAMAGED AREA,W807,,1
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,PERFORM REPAIR OF DENTS IN THE TRAILING,W302,,1
DENT ON LOWER OUTBOARD FLAP LH WING AT RIB10 ZONE5,PERFORM RESTORE SURFACE PROTECTION,W403,"10P2044MNF-EC291-TR114:91342 (EPOXY PRIMER YELLOW)
ECL-G-1622-PC233-TR111:91342 (PAINT-ECLIPSE-WHITE BAC70846)",0
DURING PRELIMINARY CHECK FOUND CEILING LIGHT NOT ILLUMINATE,CAUTION:,GAH210ZZ,,0
DURING PRELIMINARY CHECK FOUND CEILING LIGHT NOT ILLUMINATE,REPLACE TUBE LAMP OF CEILING LIGHT WHICH,GAH210ZZ,,2
DURING PRELIMINARY CHECK FOUND ENG#1 LOWER PYLON 1 EA SCREW LOOSEN,PSE RETIGHTEN SCREW,GAH210A1,"E0092-40-180NN:F5442 (LEAD)
NAS1169-10:80205 (WASHER)
NAS1169-10:80205 (WASHER)
NAS1252-10H:80205 (WASHER)
6763D090000:F1958 (VALVE, BLEED HP)",0
"DURING PRELIMINARY CHECK FOUND PUSH BUTTON SEAT 8AK, 19G, 22F, 24HK, 31D, 46K ARE LOOSE",WARNING:,GAH210ZZ,,6
"DURING PRELIMINARY CHECK FOUND PUSH BUTTON SEAT 8AK, 19G, 22F, 24HK, 31D, 46K ARE LOOSE",REPLACE PUSH BUTTON RECLINE POST SEAT 8A,GAH210ZZ,,3
